Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Satisfaction_with_previous_vote,Looking_at_poles_results,Garden_sqr_meter_per_person_in_residancy_area,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters
Purples,10.0,520.295896381,67907.2512934,Healthcare,173.43196546,No,391.549799445,Yes,Male,After_16:00,0.150984349661,0.385761532234,7.77274588589,0.560348583385,5.47502975678,3.02529993001,6855.0,23.5602479195,450.653570663,4816.80513578,52076.7896635,No,153311.245446,21.2286026545,150.956057134,3.25809235219,30262.0786089,80.0,45_and_up,4.0,648.398789626,10.0,Public_or_other,Hightech,407.31119217,1.0,No
Greens,4.0,695.412345682,71279.9722315,Environment,231.804115227,No,307.500892129,Yes,Female,By_16:00,0.746907644905,0.0703043588437,4.19316023355,9.77425349876,4.7930275579,8.54246649658,7187.0,86.5874039475,498.601997772,4072.21291683,60028.3105798,No,94556.7986601,22.3293976133,243.049662053,41.8951137457,53974.9519515,90.0,30-45,1.0,803.679617464,14.0,Motorcycle_or_truck,Public_Sector,648.375460513,0.0,No
Browns,2.0,102.471366431,18386.5084651,Healthcare,,No,538.292084089,No,Female,By_16:00,0.06250279909,0.432474359637,6.1009254097,9.46153591853,1.56600939576,9.34596617473,6172.0,78.3766318578,496.224860461,6375.37056181,60724.5767191,No,289758.367793,22.2761051457,41.800124009,62.5584764639,1210.86611528,80.0,45_and_up,1.0,758.597288317,7.0,Foot_or_bicycle,Services_or_Retail,516.331410985,4.0,Yes
Pinks,6.0,392.898135112,89911.7333437,Social,130.966045037,No,686.527056064,No,Male,By_16:00,0.562049224041,0.133389700204,5.38201926276,5.12867199024,5.06098708836,0.670589958318,6587.0,17.9051625542,654.877043913,8175.02464846,75250.5456703,No,471319.398707,25.5905655255,242.820062417,74.895839789,17293.0709977,,Below_30,4.0,901.290353914,8.0,Motorcycle_or_truck,Student_or_Unemployed,486.496617572,0.0,Yes
Blues,1.0,1825.0624311,2697.30945763,Healthcare,608.354143701,Yes,4.43378168056,Yes,Male,After_16:00,0.0264443748165,0.0132303228602,3.46330574714,3.29469067976,9.84481661348,6.21127426624,4136.0,98.9696171368,380.780842358,805.899501522,34112.586698,Yes,19.6584199909,19.5136065953,615.249472315,87.4053258216,370713.118302,80.0,Below_30,2.0,420.857984568,11.0,Foot_or_bicycle,Industry_or_other,155.423696555,,Yes
Oranges,7.0,540.95991711,75065.2326544,Military,180.31997237,No,416.289064754,Yes,Female,After_16:00,0.337836508406,0.754063137574,0.464323726483,3.06250957539,2.15410314966,6.82022745721,5877.0,97.9296947829,333.258387857,4829.40742326,43987.9111373,Maybe,173296.585434,18.2553660017,194.325581488,5.42424055748,32705.6124078,30.0,30-45,1.0,564.394629633,8.0,Motorcycle_or_truck,Public_Sector,445.666348174,0.0,No
Greens,9.0,295.794850023,24974.1772085,Healthcare,98.5982833409,No,253.292211206,Yes,Male,After_16:00,0.0776634768117,0.544321307447,9.2724301503,5.18835661234,9.51719712932,4.68261699658,7989.0,73.1443489203,498.910504843,3530.74312175,58402.5039188,No,64156.9442577,22.3363046371,272.911542514,97.8578467155,9830.21976111,80.0,Below_30,1.0,782.689891584,14.0,Car,Student_or_Unemployed,616.682432208,1.0,No
Pinks,8.0,60.1524182724,13755.5864986,Healthcare,20.0508060908,No,686.036583081,No,Female,After_16:00,0.84843462077,0.184055726975,7.36323968042,5.21519623697,,0.485424664803,9268.0,56.1789459549,653.521465319,8167.40876145,75981.5172702,No,470646.193326,25.5640658996,242.330215313,1.40398016665,432.085630982,80.0,Below_30,1.0,918.45076258,7.0,Motorcycle_or_truck,Industry_or_other,,1.0,No
Yellows,3.0,-284.978408937,-58574.6790309,Social,-94.9928029791,Yes,616.622282887,No,Male,After_16:00,0.356222967384,0.781968095107,2.53139032517,3.44269278459,6.68066893006,2.94314169791,4078.0,23.4521892853,581.483968242,7329.19076536,65835.9276691,Yes,380223.039753,24.1139786896,183.493499099,61.1099234084,8938.63981485,70.0,30-45,2.0,777.055004069,13.0,Foot_or_bicycle,Public_Sector,384.114408725,0.0,Yes
Whites,8.0,219.046525074,39124.9765599,Financial,73.0155083581,No,535.844746406,No,Male,After_16:00,0.12327084667,0.0878205092158,8.5003926605,0.0856611458585,9.43588998169,7.63566148467,8668.0,,415.812488641,6190.07244135,52821.1882332,No,287129.592251,20.3914807859,102.318684381,75.7929109735,5414.27996916,60.0,Below_30,0.0,654.920680787,7.0,Foot_or_bicycle,Student_or_Unemployed,454.209932739,0.0,Yes
